"weekly",298,80,1,0,0,0,0,0,15.8331,0.976,538.025316,0,56.21,"LOCALLY_SOLVED","OK","3865.046444;3846.248879;3833.608325;3825.108096;3819.392058;3815.548267;3812.963484;3811.225328;3810.056493;3809.270501;3808.741956;3808.386532;3808.147524","3806.0;2828.0;3516.0;3576.0;2979.0;1842.0;3514.0;4137.0;3570.0;3348.0;3245.0;4174.0;3695.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",301,80,2,0,0,0,0,0,8.9312,0.7252,335.189873,0,55.34,"LOCALLY_SOLVED","OK","2680.653004;2676.14607;2719.515878;2738.574384;2759.552717;2774.673839;2787.585438;2797.834502;2806.222599;2812.999224;2818.503985;2822.965263;2826.584394","3392.0;2854.0;2689.0;2867.0;2815.0;2185.0;2861.0;2947.0;2624.0;2433.0;2365.0;2874.0;2649.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",300,80,1,0,3,0,0,0,11.1571,0.7733,261.240506,0,56.1,"LOCALLY_SOLVED","OK","1868.565692;1857.062595;1944.999648;1929.330308;1917.73708;1909.159634;1902.813465;1898.118143;1894.64423;1892.073997;1890.172365;1888.765411;1887.724453","2374.0;1834.0;1881.0;1979.0;1699.0;1155.0;1765.0;2300.0;1820.0;1777.0;1643.0;1919.0;1892.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",317,80,0,1,1,0,0,0,7.6981,0.427,704.56962,0,0.66,"LOCALLY_SOLVED","OK","3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529;3950.883529","4508.0;3991.0;3886.0;4226.0;4297.0;3077.0;3922.0;4642.0;4072.0;3787.0;3349.0;4066.0;3983.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",319,80,1,0,1,0,0,0,13.0306,1.1591,274.582278,0,0.21,"LOCALLY_SOLVED","OK","2256.474249;2247.662617;2240.244681;2234.000007;2228.743024;2224.317514;2220.591968;2217.455674;2214.815433;2212.592788;2210.721688;2209.146532;2207.82051","2547.0;2678.0;2381.0;2733.0;2894.0;1965.0;2326.0;3097.0;2363.0;2247.0;2099.0;2524.0;2466.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",318,80,0,1,1,0,0,0,8.1088,0.5988,499.860759,0,0.63,"LOCALLY_SOLVED","OK","3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478;3476.703478","3655.0;3808.0;3633.0;3613.0;3695.0;3768.0;3792.0;3736.0;3827.0;3735.0;3552.0;4420.0;3854.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",307,80,1,0,3,0,0,0,11.8898,0.7728,484.392405,0,2.41,"LOCALLY_SOLVED","OK","2891.126379;3227.900152;3335.492205;3333.122633;3331.487883;3330.360081;3329.582018;3329.045238;3328.674918;3328.419437;3328.243182;3328.121585;3328.037697","3460.0;3044.0;3400.0;3706.0;2874.0;2274.0;2800.0;3050.0;3473.0;2985.0;3099.0;3948.0;3311.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",321,80,1,0,0,0,0,0,9.3782,0.7483,709.164557,0,0.15,"LOCALLY_SOLVED","OK","6025.746228;5917.682889;5837.837529;5778.841743;5735.251198;5703.04321;5679.245514;5661.661978;5648.669933;5639.070428;5631.977589;5626.736863;5622.864619","6172.0;5932.0;5665.0;6110.0;5342.0;4145.0;5273.0;5132.0;6994.0;6018.0;5745.0;6651.0;6108.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",320,80,1,0,0,0,0,0,22.7364,1.9128,291.468354,0,0.28,"LOCALLY_SOLVED","OK","2292.933643;2180.844772;2102.840184;2048.555438;2010.777743;1984.487589;1966.191816;1953.459469;1944.598809;1938.432522;1934.141296;1931.154957;1929.076712","2572.0;2584.0;2776.0;3036.0;3647.0;2357.0;2695.0;3086.0;2379.0;1989.0;1862.0;2062.0;2276.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",324,80,1,0,0,0,0,0,20.07,1.7726,313.78481,0,0.1,"LOCALLY_SOLVED","OK","2518.680011;2458.655686;2424.768177;2405.636545;2394.835535;2388.737685;2385.295065;2383.351489;2382.254218;2381.63474;2381.285005;2381.087558;2380.976087","3057.0;2539.0;2419.0;2741.0;2917.0;2209.0;2798.0;3546.0;3183.0;3140.0;2856.0;3481.0;3241.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",322,80,1,0,1,0,0,0,10.3299,0.9367,281.101266,0,0.31,"LOCALLY_SOLVED","OK","2320.230347;2317.652911;2315.539439;2313.806412;2312.385346;2311.220086;2310.264584;2309.481081;2308.838616;2308.311802;2307.879818;2307.525596;2307.235138","2626.0;2370.0;2401.0;2830.0;3284.0;2103.0;2352.0;2865.0;2483.0;2381.0;2317.0;2530.0;2515.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",323,80,1,0,0,0,0,0,18.5778,1.45,657.696203,0,0.24,"LOCALLY_SOLVED","OK","4433.656806;4453.200773;4466.080333;4474.568019;4480.161442;4483.847533;4486.276683;4487.877503;4488.932451;4489.627666;4490.085816;4490.387739;4490.586707","5324.0;4761.0;4912.0;5730.0;6273.0;4394.0;5408.0;6709.0;5429.0;5251.0;4661.0;5976.0;5605.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",299,80,2,0,3,0,0,0,9.926,0.6967,446.873418,0,58.25,"LOCALLY_SOLVED","OK","3304.589126;2941.013981;3360.938069;3438.796032;3345.922149;3220.559319;3132.116862;3094.137668;3091.949571;3105.240679;3119.527821;3128.502936;3131.71836","3952.0;3296.0;3338.0;3522.0;3138.0;2128.0;2955.0;3950.0;3260.0;3003.0;2981.0;3182.0;3275.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",326,80,1,0,0,0,0,0,12.2389,1.0635,426.379747,0,0.14,"LOCALLY_SOLVED","OK","3741.583363;3646.45998;3580.613092;3535.032156;3503.479843;3481.638508;3466.519366;3456.053502;3448.808757;3443.793755;3440.32224;3437.919167;3436.255697","3852.0;3618.0;3667.0;4098.0;3958.0;2932.0;3769.0;4767.0;4198.0;3692.0;3344.0;4281.0;2884.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",308,80,1,0,4,0,0,0,11.3392,0.7079,335.177215,0,2.69,"LOCALLY_SOLVED","OK","2333.403979;2091.855147;2233.58628;2424.188489;2373.638076;2350.0346;2339.013442;2333.86734;2331.464473;2330.342504;2329.818623;2329.574008;2329.45979","2573.0;2124.0;2185.0;2420.0;1932.0;1351.0;1891.0;2117.0;2349.0;2289.0;2047.0;2592.0;2279.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",331,80,1,0,0,0,0,0,9.8918,0.761,798.987342,0,0.11,"LOCALLY_SOLVED","OK","6240.213932;6155.103263;6105.753716;6077.139468;6060.548126;6050.928002;6045.349985;6042.115695;6040.240363;6039.152993;6038.522506;6038.156931;6037.944961","6871.0;5873.0;6170.0;6691.0;6293.0;4403.0;6148.0;7417.0;6375.0;5700.0;5761.0;6663.0;7417.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",327,80,1,0,1,0,0,0,11.9899,0.9901,1136.721519,0,0.24,"LOCALLY_SOLVED","OK","8898.351615;8936.062028;8964.600432;8986.197664;9002.54197;9014.910979;9024.271571;9031.355459;9036.716388;9040.773421;9043.843693;9046.167207;9047.925591","9791.0;8592.0;8763.0;9250.0;7963.0;6586.0;9213.0;11666.0;10414.0;9639.0;9268.0;11945.0;10586.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",314,80,3,0,0,0,0,0,10.5834,0.9509,933.278481,0,2.06,"LOCALLY_SOLVED","OK","7908.491055;7925.524094;8058.974775;7894.435479;7822.813637;7812.250252;7765.910246;7726.042015;7702.172474;7678.081971;7656.019644;7638.67247;7623.670046","9441.0;8986.0;8449.0;9450.0;9509.0;7357.0;8471.0;9510.0;8440.0;8063.0;7471.0;8021.0;8301.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",330,80,1,0,0,0,0,0,11.7925,0.9203,458.303797,0,0.2,"LOCALLY_SOLVED","OK","3636.934736;3578.919072;3544.243254;3523.517605;3511.129937;3503.725858;3499.300459;3496.655409;3495.07447;3494.129546;3493.564767;3493.227201;3493.025438","3899.0;3130.0;3356.0;3606.0;3534.0;2475.0;3407.0;4577.0;4188.0;3678.0;3283.0;4192.0;3984.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",325,80,0,1,2,0,0,0,11.3058,0.7768,505.126582,0,0.54,"LOCALLY_SOLVED","OK","3614.418267;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045;3676.530045","3215.0;3336.0;3183.0;3166.0;3238.0;3301.0;3322.0;3274.0;3354.0;3273.0;3112.0;3872.0;3377.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",333,80,1,0,0,0,0,0,13.8921,1.2131,330.126582,0,0.18,"LOCALLY_SOLVED","OK","2761.348719;2689.183556;2642.118481;2611.423321;2591.404382;2578.348319;2569.833344;2564.280001;2560.658191;2558.296099;2556.755576;2555.75087;2555.095615","2774.0;2724.0;2885.0;3325.0;3629.0;2345.0;3088.0;3348.0;2915.0;2738.0;2573.0;3229.0;2961.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",334,80,1,0,0,0,0,0,8.2287,0.622,533.278481,0,0.19,"LOCALLY_SOLVED","OK","4046.539294;3979.047306;3935.854266;3908.211893;3890.521525;3879.200169;3871.954809;3867.317976;3864.350528;3862.451442;3861.236079;3860.458279;3859.960508","4019.0;3939.0;4008.0;4178.0;4154.0;3076.0;3917.0;4989.0;4219.0;4007.0;3832.0;4543.0;4318.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",329,80,1,0,3,0,0,0,12.3777,1.0333,1209.240506,0,0.39,"LOCALLY_SOLVED","OK","9136.785304;9253.818585;9670.735537;9597.855654;9540.803537;9496.141775;9461.179477;9433.810154;9412.384793;9395.612507;9382.48276;9372.20448;9364.158396","11786.0;9960.0;9820.0;10747.0;10786.0;7966.0;9968.0;12266.0;10587.0;8995.0;8982.0;11725.0;10511.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",335,80,1,0,1,0,0,0,14.6788,1.321,506.962025,0,0.28,"LOCALLY_SOLVED","OK","4122.521909;4114.251434;4107.910182;4103.048129;4099.320228;4096.461921;4094.270359;4092.590015;4091.301639;4090.313797;4089.556385;4088.975651;4088.530383","5003.0;4375.0;4539.0;4653.0;5501.0;3930.0;4734.0;5515.0;5429.0;4309.0;3932.0;4650.0;4767.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",336,80,1,0,0,0,0,0,16.1216,1.0594,275.379747,0,0.17,"LOCALLY_SOLVED","OK","1827.309871;1738.593425;1688.996088;1661.268468;1645.767215;1637.101168;1632.256375;1629.547871;1628.033669;1627.187148;1626.713896;1626.449322;1626.301411","1984.0;1637.0;2053.0;2085.0;2375.0;1537.0;2031.0;2317.0;1744.0;1468.0;1250.0;1730.0;1702.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",337,80,1,0,1,0,0,0,16.9806,1.8311,173.582278,0,0.2,"LOCALLY_SOLVED","OK","1633.581364;1642.890599;1650.619425;1657.036145;1662.363512;1666.786464;1670.45854;1673.507216;1676.038325;1678.139732;1679.884389;1681.332858;1682.535424","1682.0;2188.0;1939.0;2411.0;2429.0;1734.0;1835.0;2171.0;1857.0;1650.0;1562.0;2022.0;1350.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",338,80,1,0,1,0,0,0,19.1031,1.7898,262.835443,0,0.22,"LOCALLY_SOLVED","OK","2087.617651;2099.648081;2109.781687;2118.317538;2125.507551;2131.563923;2136.665393;2140.962521;2144.582125;2147.63103;2150.199217;2152.362482;2154.184667","2838.0;2690.0;2470.0;3041.0;3116.0;2190.0;2571.0;3022.0;2481.0;2196.0;2106.0;2391.0;2614.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",339,80,1,0,1,0,0,0,11.9674,0.9062,484.848101,0,0.21,"LOCALLY_SOLVED","OK","4159.804767;4121.820791;4092.83696;4070.720728;4053.844845;4040.967633;4031.141622;4023.643844;4017.922634;4013.55704;4010.225856;4007.683982;4005.744394","4385.0;3907.0;3606.0;3890.0;3564.0;2431.0;3703.0;4398.0;3699.0;3437.0;3386.0;4085.0;3801.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",332,80,0,1,2,0,0,0,11.576,0.9777,387.924051,0,0.46,"LOCALLY_SOLVED","OK","3141.61096;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766;3008.578766","3191.0;3095.0;2805.0;3275.0;3230.0;2471.0;3448.0;4534.0;3545.0;3233.0;3179.0;3157.0;3530.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",341,80,1,0,0,0,0,0,11.5677,1.0477,585.341772,0,0.18,"LOCALLY_SOLVED","OK","5483.744375;5189.004085;5006.214374;4892.853291;4822.549908;4778.949709;4751.910082;4735.140859;4724.741054;4718.291385;4714.29148;4711.81085;4710.272433","5896.0;5259.0;5643.0;6241.0;6242.0;4539.0;5038.0;6269.0;5306.0;4688.0;4423.0;5340.0;5205.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",328,80,2,1,2,0,0,0,11.55,0.7036,416.164557,0,0.8,"LOCALLY_SOLVED","OK","2372.025348;2325.177352;2517.619087;2582.8186;2488.997286;2433.640539;2474.588498;2513.716935;2498.889066;2474.101859;2477.312089;2491.757087;2492.90816","2826.0;2377.0;2613.0;2854.0;2688.0;1744.0;2439.0;3290.0;2774.0;2447.0;2203.0;2916.0;2726.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",342,80,1,0,0,0,0,0,8.0718,0.7071,152.358228,0,0.22,"LOCALLY_SOLVED","OK","1325.141156;1322.507798;1320.55925;1319.117428;1318.050555;1317.261124;1316.676987;1316.244756;1315.924928;1315.688272;1315.513159;1315.383585;1315.287706","1717.1;1304.4;1335.5;1379.2;1276.9;1007.2;1323.0;1575.6;1307.0;1264.5;1118.6;1349.1;1323.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",343,80,1,0,0,0,0,0,12.4419,0.9519,498.025316,0,0.23,"LOCALLY_SOLVED","OK","3847.918781;3758.518557;3701.463086;3665.050125;3641.811273;3626.980172;3617.514923;3611.474174;3607.618952;3605.158538;3603.588295;3602.586162;3601.946598","4274.0;3596.0;3596.0;4510.0;4182.0;2859.0;3579.0;4723.0;4013.0;3409.0;3143.0;4375.0;3933.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",315,80,1,0,1,0,0,0,5.0945,0.398,606.974684,0,2.08,"LOCALLY_SOLVED","OK","5234.201569;5122.489786;5034.678257;4965.653623;4911.396512;4868.747475;4835.223014;4808.870967;4788.156826;4771.874387;4759.075504;4749.014887;4741.106696","5316.0;5008.0;5037.0;5095.0;5226.0;3920.0;4911.0;5467.0;4717.0;4589.0;4346.0;4605.0;4745.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",340,80,3,0,0,0,0,0,15.0452,1.4734,680.506329,0,0.37,"LOCALLY_SOLVED","OK","6091.519361;5784.913542;6233.039386;6100.350179;5921.440067;6016.528658;6013.719697;5945.170503;5952.416992;5957.056474;5934.214412;5927.71949;5927.78294","7431.0;6881.0;7184.0;7855.0;7520.0;6190.0;7526.0;7912.0;7010.0;6089.0;6089.0;6444.0;6709.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",346,80,1,0,0,0,0,0,12.4649,0.889,770.822785,0,0.24,"LOCALLY_SOLVED","OK","6214.589744;6138.470962;6089.538807;6058.083288;6037.86244;6024.863682;6016.507567;6011.135927;6007.682825;6005.463035;6004.036066;6003.118755;6002.52907","7012.0;5532.0;5818.0;5845.0;5240.0;3442.0;5592.0;6704.0;5512.0;5418.0;5004.0;5866.0;5701.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
"weekly",348,80,2,0,0,0,0,0,14.0489,1.141,520.670886,0,0.16,"LOCALLY_SOLVED","OK","4509.811338;4565.37776;4605.118574;4637.760295;4663.479437;4683.990048;4700.289183;4713.254992;4723.566052;4731.766647;4738.288579;4743.475508;4747.600695","4952.0;4054.0;3637.0;4411.0;4431.0;2762.0;3708.0;4300.0;5288.0;4673.0;3860.0;5166.0;4657.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_weekly_moi148.csv"
