"quarterly",8971,167,2,2,3,0,0,0,1.17,0.4037,180.069939,0,3.9,"LOCALLY_SOLVED","OK","6168.156181;6249.22688;6263.866944;6337.833538;6394.261585;6429.565858;6498.420525;6546.456124","5942.6;6128.3;6196.8;6384.1;6397.1;6480.6;6494.7;6482.3","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",3621,167,0,2,1,0,0,0,2.51,0.9759,558.797546,0,57.98,"LOCALLY_SOLVED","OK","20325.289791;20540.579582;20755.869373;20971.159164;21186.448955;21401.738746;21617.028537;21832.318328","20449.0;20745.0;21019.0;21509.0;21533.0;22436.0;22544.0;22758.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",9386,56,0,1,2,1,0,0,15.1345,1.4772,530.276923,0,1.66,"LOCALLY_SOLVED","OK","5075.925835;5254.497175;5485.957996;5699.169012;5804.186188;5821.306016;5810.529231;5809.378326","4933.5;4786.9;4628.8;4520.2;4438.0;4616.1;5035.4;5535.4","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",19670,111,1,1,3,0,0,0,1.5031,0.3271,93.092523,0,5.42,"LOCALLY_SOLVED","OK","1979.231231;1984.073556;2025.246429;2060.32136;2090.20149;2115.656199;2137.340918;2155.814004","1901.8;1965.1;1994.1;2113.4;2108.4;2109.0;2101.4;2153.6","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",2088,99,3,1,2,1,0,0,22.7515,2.9832,572.0,0,60.3,"LOCALLY_SOLVED","OK","6586.869746;6742.696108;6640.436121;6426.734866;6281.274788;6333.292713;6530.860391;6786.871228","6890.0;7580.0;8260.0;8820.0;8840.0;8630.0;8500.0;8460.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",21023,121,0,1,3,0,0,0,5.3133,1.5642,106.912149,0,2.09,"LOCALLY_SOLVED","OK","2974.693142;2976.095338;3028.596189;3049.604142;3070.612095;3091.620048;3112.628001;3133.635955","3204.739409;3275.157456;3167.073332;3188.147373;3173.244602;3412.65844;3207.013372;3147.273757","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",20354,97,2,1,0,0,0,0,63.8755,4.8808,438.860215,0,1.09,"LOCALLY_SOLVED","OK","2050.618383;1850.480275;1959.025449;1883.208155;1928.790384;1898.893822;1917.524166;1905.562455","2332.0;1959.0;6624.0;4992.0;4701.0;3651.0;3857.0;4414.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",19383,64,1,0,0,0,0,1,38.1518,0.6091,980.251167,0,0.66,"LOCALLY_SOLVED","OK","2314.334203;2175.21447;1970.464581;2155.951888;1983.318668;1895.608581;1851.04555;1828.404327","1871.69;1493.48;1536.01;1365.01;1911.58;1591.62;672.07;956.45","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",5229,54,1,0,0,0,0,1,13.3391,0.6892,164.104049,0,0.65,"LOCALLY_SOLVED","OK","838.313741;848.093117;838.429538;874.080535;907.900045;938.112343;965.102179;989.213262","833.199964;821.140904;837.048974;802.134064;795.435464;768.553983;704.292543;732.645093","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",3351,121,0,1,1,0,0,0,9.3196,0.6454,371.512821,0,1.96,"LOCALLY_SOLVED","OK","2608.421144;2608.421144;2608.421144;2608.421144;2608.421144;2608.421144;2608.421144;2608.421144","2932.0;2069.0;2698.0;2637.0;2388.0;2707.0;3026.0;2408.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",1779,33,0,1,1,0,0,0,5.3991,0.8043,909.17069,0,0.32,"LOCALLY_SOLVED","OK","13028.967585;13246.200521;13463.433458;13680.666395;13897.899331;14115.132268;14332.365205;14549.598142","13276.72;13198.32;13491.84;13466.02;13128.1;12811.79;12594.94;13049.16","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",6550,39,0,1,0,0,0,0,3.061,0.392,506.542857,0,0.19,"LOCALLY_SOLVED","OK","6316.578947;6392.157895;6467.736842;6543.315789;6618.894737;6694.473684;6770.052632;6845.631579","6579.0;6348.0;6274.0;6270.0;6255.0;6496.0;6609.0;6754.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",14407,115,0,1,1,0,0,1,8.9428,1.227,413.178835,0,1.55,"LOCALLY_SOLVED","OK","5781.062935;5769.744333;5588.981249;5705.232217;5761.942618;5799.306409;5836.670201;5874.033992","6045.74497;5359.70253;5201.59027;6121.59808;6606.28253;5549.99411;4788.73295;5438.26248","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",14711,138,0,1,0,0,0,1,2.4767,1.059,251.716418,0,1.67,"LOCALLY_SOLVED","OK","10447.713683;10506.639061;10548.158685;10578.588851;10621.783821;10664.978791;10708.173761;10751.368731","10640.0;10830.0;10750.0;10810.0;10910.0;10800.0;11090.0;11130.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",15343,118,3,1,2,0,0,0,8.1903,0.8209,139.95614,0,2.95,"LOCALLY_SOLVED","OK","1320.271716;1400.934822;1322.982465;1321.294933;1393.748551;1335.164672;1319.622607;1384.900189","1536.0;1466.0;1432.0;1459.0;1555.0;1430.0;1312.0;1257.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",23905,62,0,1,0,0,0,0,10.3219,0.538,720.17931,0,0.18,"LOCALLY_SOLVED","OK","3661.0;3661.0;3661.0;3661.0;3661.0;3661.0;3661.0;3661.0","4029.3;4071.3;3271.6;3284.1;3491.0;4198.6;4049.0;4120.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",7169,85,0,1,0,0,0,0,14.7877,0.4927,348.839506,0,0.46,"LOCALLY_SOLVED","OK","1066.0;1066.0;1066.0;1066.0;1066.0;1066.0;1066.0;1066.0","960.0;1042.0;1165.0;1235.0;1243.0;1332.0;1308.0;1358.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",8852,115,2,1,1,1,0,2,8.6667,1.9535,404.207632,0,65.07,"LOCALLY_SOLVED","OK","9552.57001;9576.033075;9552.051995;9641.589836;9355.947687;9564.403862;9649.184739;9810.53327","8107.061;9304.20844;8436.82406;8710.23827;8899.00017;9135.38489;9094.33105;8698.2245","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",22059,118,0,2,1,1,0,1,0.5744,0.2589,228.77193,0,2.68,"LOCALLY_SOLVED","OK","10060.660045;10107.060223;10169.555226;10229.862967;10318.268222;10364.969962;10426.836926;10486.642958","10050.0;10080.0;10150.0;10190.0;10240.0;10260.0;10330.0;10390.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",8688,53,0,1,1,2,0,0,96.6989,2.316,710.338776,0,0.71,"LOCALLY_SOLVED","OK","2040.68287;2999.278826;2110.206451;3331.264396;2799.540576;2235.810125;2900.593814;2249.012917","869.1;889.9;2756.9;1880.7;269.2;478.7;1020.0;633.9","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",6523,67,0,1,1,0,0,0,6.4013,1.468,172.59219,0,0.43,"LOCALLY_SOLVED","OK","3645.317394;3678.603296;3711.889199;3745.175101;3778.461004;3811.746906;3845.032808;3878.318711","3676.928;3791.92;3905.7;4001.276;4130.212;4057.452;4201.96;4355.972","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",7279,95,2,1,2,0,0,0,8.5689,0.9341,1227.467582,0,6.3,"LOCALLY_SOLVED","OK","13185.757468;12243.597233;12239.367116;13082.551854;13142.493062;12391.626107;12287.957851;12953.265431","13672.67;11375.63;12887.69;15154.64;14092.26;12788.52;13993.04;14998.8","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",10534,74,3,0,0,0,0,0,4.8917,0.4757,438.485714,0,1.02,"LOCALLY_SOLVED","OK","4060.909518;4078.326366;4091.588594;4111.06062;4124.845445;4135.958548;4147.14684;4156.495323","4176.0;4285.0;4231.0;4191.0;4247.0;4004.0;4518.0;4659.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",22438,89,2,1,2,0,0,0,1.2722,0.8347,64.776471,0,2.77,"LOCALLY_SOLVED","OK","4267.201626;4294.406808;4299.013215;4285.579109;4282.678189;4289.284452;4291.029646;4287.795036","4302.0;4293.0;4301.0;4237.0;4198.0;4197.0;4207.0;4203.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",9526,106,0,1,0,0,0,0,51.5916,2.1985,673.519608,0,0.64,"LOCALLY_SOLVED","OK","3942.0;3942.0;3942.0;3942.0;3942.0;3942.0;3942.0;3942.0","4852.0;2968.0;3144.0;3760.0;2540.0;1906.0;1704.0;636.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",22602,70,1,1,0,0,0,0,5.2479,1.5563,346.969697,0,0.6,"LOCALLY_SOLVED","OK","9918.012422;9884.402608;9870.624672;9864.976573;9862.661204;9861.712046;9861.322951;9861.163446","9900.0;9800.0;10000.0;10200.0;10600.0;10800.0;10900.0;10900.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",19924,136,0,1,0,0,0,0,1.2418,0.2655,109.650909,0,0.59,"LOCALLY_SOLVED","OK","2237.018815;2250.47763;2263.936444;2277.395259;2290.854074;2304.312889;2317.771704;2331.230519","2241.07;2240.51;2261.31;2287.88;2312.05;2321.03;2392.6;2424.27","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",11494,32,0,1,0,0,0,0,0.74,0.3246,50.583461,0,0.11,"LOCALLY_SOLVED","OK","2173.809829;2185.523858;2197.237887;2208.951916;2220.665945;2232.379974;2244.094003;2255.808032","2182.6583;2194.263;2187.5108;2206.6174;2206.481;2205.3544;2217.3212;2222.0809","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",9922,56,0,1,0,1,0,1,4.1698,1.2468,42.423077,0,1.19,"LOCALLY_SOLVED","OK","1289.219113;1299.413433;1306.772155;1319.464575;1293.751607;1302.859256;1309.433571;1320.773034","1243.0;1273.0;1263.0;1279.0;1205.0;1224.0;1217.0;1327.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",12314,119,3,2,1,0,0,2,1.6161,0.7175,294.173913,0,4.5,"LOCALLY_SOLVED","OK","12495.797304;12606.170262;12743.683688;12861.481468;12970.643778;13080.384816;13193.196143;13313.998081","12606.0;12803.0;13062.0;13005.0;13162.0;13243.0;13577.0;13496.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",6559,67,0,1,1,0,0,1,6.5707,1.6014,122.112127,0,0.59,"LOCALLY_SOLVED","OK","2730.538065;2700.026354;2783.304644;2776.749523;2808.595452;2832.498295;2856.401137;2880.303979","2960.088;2801.304;2822.884;2856.124;2921.124;2944.574;3354.467;3272.207","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",18301,71,0,1,1,0,0,0,1.8075,0.2238,618.955224,0,0.76,"LOCALLY_SOLVED","OK","7615.835186;7615.835186;7615.835186;7615.835186;7615.835186;7615.835186;7615.835186;7615.835186","7770.0;7440.0;7640.0;7830.0;7680.0;7910.0;7490.0;7560.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",2903,88,0,1,3,0,0,2,6.1935,1.6283,631.166667,0,1.82,"LOCALLY_SOLVED","OK","16851.536115;16751.310211;16966.337763;17079.635847;17241.653519;17346.111034;17621.443277;17749.655864","16703.0;15442.0;16080.0;15823.0;16599.0;17086.0;15555.0;16098.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",11959,111,2,1,2,1,0,0,17.1784,1.4779,1896.910374,0,4.58,"LOCALLY_SOLVED","OK","15209.199921;16399.1286;17429.444248;17569.757208;16858.383417;15912.3524;15350.881473;15394.822094","13536.05;13188.33;13827.11;14859.49;16847.23;18553.47;19236.3;20088.88","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",21074,96,0,1,1,0,0,0,19.0493,0.8411,472.009519,0,1.65,"LOCALLY_SOLVED","OK","2364.661593;2364.661593;2364.661593;2364.661593;2364.661593;2364.661593;2364.661593;2364.661593","1923.848427;1961.625257;1950.626255;1393.700034;1870.324188;2347.865755;2172.087873;2608.299039","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",15999,122,1,1,0,0,0,2,3.8116,0.4759,185.423729,0,1.22,"LOCALLY_SOLVED","OK","2151.572545;2123.138303;2322.460684;2350.525739;2371.019497;2374.697494;2420.114092;2420.131715","2240.0;2320.0;2400.0;2450.0;2460.0;2330.0;2340.0;2450.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",9939,37,0,1,0,0,0,0,3.1685,0.5114,93.133333,0,0.27,"LOCALLY_SOLVED","OK","1458.119444;1481.338889;1504.558333;1527.777778;1550.997222;1574.216667;1597.436111;1620.655556","1475.2;1458.7;1441.6;1437.1;1472.8;1492.4;1571.3;1622.2","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",17368,70,2,0,0,1,0,1,22.0477,1.1276,1077.272727,0,1.4,"LOCALLY_SOLVED","OK","5009.539427;4825.242763;4960.661194;4801.642205;4796.394624;4505.657436;4762.183736;4666.634279","6100.0;5400.0;4800.0;7400.0;6800.0;6600.0;3800.0;4900.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",898,98,0,0,0,0,1,0,2.2484,1.0707,183.93617,0,0.51,"LOCALLY_SOLVED","OK","8078.617021;8848.617021;8568.617021;8278.617021;8237.234043;9007.234043;8727.234043;8437.234043","8290.0;9110.0;8590.0;8290.0;8530.0;9520.0;8490.0;8410.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",2733,83,0,0,0,0,0,0,29.6212,1.0578,2455.696203,0,0.36,"LOCALLY_SOLVED","OK","7779.518072;7779.518072;7779.518072;7779.518072;7779.518072;7779.518072;7779.518072;7779.518072","4800.0;6400.0;9800.0;8700.0;8200.0;11300.0;12300.0;12800.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",16679,70,0,1,0,0,0,0,6.4754,1.3087,232.69697,0,0.43,"LOCALLY_SOLVED","OK","4363.594203;4397.188406;4430.782609;4464.376812;4497.971014;4531.565217;4565.15942;4598.753623","4309.0;4275.0;4596.0;4752.0;4908.0;5032.0;4990.0;5070.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",18707,149,1,1,0,2,0,0,8.4125,1.3488,1188.907933,0,2.45,"LOCALLY_SOLVED","OK","19521.241237;19442.458715;19997.413689;19998.23515;20345.216702;20058.686903;20302.12346;20062.248187","18179.329831;17399.166642;18662.324663;18505.002665;17656.90066;18766.837246;19550.451834;18178.814393","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",2519,137,2,1,3,0,0,0,6.3963,0.5687,961.0,0,8.5,"LOCALLY_SOLVED","OK","7999.374693;7981.551241;8017.395218;8052.873691;8062.122901;8051.894887;8039.757647;8035.609638","8009.0;8106.0;8212.0;8202.0;8476.0;8896.0;9252.0;9460.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",14118,115,2,1,1,0,0,0,8.1648,1.0179,696.48023,0,3.17,"LOCALLY_SOLVED","OK","8227.128314;8420.297175;8523.528522;8511.308323;8484.141904;8478.595794;8483.061796;8485.687865","10621.43639;8318.92306;8006.6822;7912.0052;8280.48643;7760.15938;7911.98718;7919.29122","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",4919,93,0,1,0,0,0,1,14.8496,0.4331,1711.235955,0,1.06,"LOCALLY_SOLVED","OK","5966.039663;5971.537621;5955.572805;5668.083614;5482.20063;5296.317646;5110.434662;4924.551678","6200.0;5500.0;5000.0;4900.0;3700.0;5300.0;5800.0;3900.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",3127,138,1,2,2,0,0,2,1.1494,0.4065,338.955224,0,4.96,"LOCALLY_SOLVED","OK","11968.88714;11994.281356;11890.809463;11914.208219;12072.053307;12141.604677;12405.813172;12472.353179","12050.0;11980.0;11810.0;11810.0;11790.0;11740.0;12370.0;12370.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",14816,186,0,1,1,0,0,1,3.2386,1.049,310.659341,0,3.12,"LOCALLY_SOLVED","OK","10001.455899;10075.855506;10142.40203;10210.151582;10261.626628;10310.086729;10358.54683;10407.006931","9810.0;9990.0;10010.0;9810.0;9710.0;9800.0;10000.0;10030.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",12009,115,0,1,2,0,0,0,4.0568,0.5969,601.761525,0,1.45,"LOCALLY_SOLVED","OK","8777.948794;8855.300003;8889.555623;8923.811242;8958.066862;8992.322481;9026.578101;9060.83372","8304.05108;8444.37993;9541.72466;9077.51598;9098.0755;8558.64433;8601.20331;8876.82162","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",15350,118,2,1,2,0,0,1,14.3265,2.2465,311.631579,0,6.82,"LOCALLY_SOLVED","OK","4700.811907;4772.508404;4994.432725;5224.840673;5437.850896;5543.438431;5506.432149;5344.954028","4885.0;4578.0;4463.0;4855.0;4465.0;4457.0;4467.0;4123.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",11032,114,1,1,1,0,0,0,5.2644,0.344,1066.657273,0,2.15,"LOCALLY_SOLVED","OK","6904.714946;6882.969788;6867.90364;6857.465049;6850.232663;6845.2217;6841.74985;6839.344377","7441.6;7152.9;6545.1;6668.6;6887.0;6391.2;7527.0;7280.2","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",3516,53,0,1,1,0,0,0,50.5067,1.515,1069.610204,0,0.78,"LOCALLY_SOLVED","OK","2182.647157;2182.647157;2182.647157;2182.647157;2182.647157;2182.647157;2182.647157;2182.647157","1395.0;2798.4;1029.8;2347.0;2429.3;5011.1;8495.5;1327.9","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
"quarterly",54,59,0,1,1,0,0,0,1.8529,0.8732,36.563636,0,0.36,"LOCALLY_SOLVED","OK","1664.96776;1673.041803;1681.115847;1689.18989;1697.263934;1705.337977;1713.41202;1721.486064","1667.0;1684.0;1671.0;1745.0;1758.0;1740.0;1752.0;1764.0","A","aa68d57","clean","not_recorded","not_recorded","1.9.4","not_recorded","not_recorded","not_recorded","Windows-x86_64","m4_innov_quarterly.csv"
